,Geo Point,Geo Shape,dlibre,dgenerica_,despecific,regimen,direccion,codpos,telef,fax,mail,distrito,Tipo
29,"39.452970999074076, -0.3637399999999998","{""coordinates"": [-0.36374, 39.452970999074076], ""type"": ""Point""}",IES JORDI DE SANT JORDI,INSTITUT D'EDUCACIÓ SECUNDÀRIA,JORDI DE SANT JORDI,PÚBLICO,"CL. ALCALDE GISBERT RICO, 24",46013,961206180,961206181,46012951@edu.gva.es,Quatre Carreres,D'EDUCACIÓ SECUNDÀRIA
30,"39.474911999073946, -0.34095200000000103","{""coordinates"": [-0.340952, 39.474911999073946], ""type"": ""Point""}",IES EL CABANYAL,INSTITUT D'EDUCACIÓ SECUNDÀRIA,EL CABANYAL,PÚBLICO,"CM. DEL CABANYAL, 19",46022,961206055,961206056,46013050@edu.gva.es,Camins al Grau,D'EDUCACIÓ SECUNDÀRIA
31,"39.48310399907389, -0.369941","{""coordinates"": [-0.369941, 39.48310399907389], ""type"": ""Point""}",IES BENLLIURE,INSTITUT D'EDUCACIÓ SECUNDÀRIA,BENLLIURE,PÚBLICO,"CL. CONVENT DE CARMELITES, 13",46010,961206135,961206136,46013062@edu.gva.es,Pla del Real,D'EDUCACIÓ SECUNDÀRIA
32,"39.46517199907402, -0.33250799999999975","{""coordinates"": [-0.332508, 39.46517199907402], ""type"": ""Point""}",CENTRE PRIVAT HOGAR NUESTRA SEÑORA DEL ROSARIO,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",HOGAR NUESTRA SEÑORA DEL ROSARIO,CONCERTADO,"CL. VICENTE BRULL, 54",46011,963672182,963240776,colegio@hogarrosario.com,Poblados Marítimos,D'EDUCACIÓ INFANTIL
33,"39.47470499907394, -0.3827890000000009","{""coordinates"": [-0.382789, 39.47470499907394], ""type"": ""Point""}",ESCOLA D'ART I SUPERIOR DE DISSENY DE VALENCIA,ESCOLA D'ART I SUPERIOR DE DISSENY,,PÚBLICO,"CL. PINTOR DOMINGO, 20",46001,963156700,963156701,46013232@iseacv.gva.es,Ciutat Vella,ESCOLA D'ART I SUPERIOR DE DISSENY
34,"39.44519699907414, -0.3890109999999988","{""coordinates"": [-0.389011, 39.44519699907414], ""type"": ""Point""}",CEIP FAUSTO MARTÍNEZ,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,FAUSTO MARTÍNEZ,PÚBLICO,"PZ. PINTOR SALVADOR SORIA, 8",46017,962566640,962566641,46013441@edu.gva.es,Jesus,D'EDUCACIÓ INFANTIL I PRIMÀRIA
35,"39.464884999074, -0.3958780000000004","{""coordinates"": [-0.395878, 39.464884999074], ""type"": ""Point""}",CEIP 8 DE MARÇ,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,8 DE MARÇ,PÚBLICO,"CL. MARÍA ZAMBRANO, 1",46018,962566240,962566241,46013475@edu.gva.es,Patraix,D'EDUCACIÓ INFANTIL I PRIMÀRIA
36,"39.47030799907398, -0.39600700000000044","{""coordinates"": [-0.396007, 39.47030799907398], ""type"": ""Point""}",CEIP DOCTOR BARCIA GOYANES,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,DOCTOR BARCIA GOYANES,PÚBLICO,"CL. OLIMPIA  AROZENA TORRES, 23",46018,962566230,962566231,46013499@edu.gva.es,Patraix,D'EDUCACIÓ INFANTIL I PRIMÀRIA
37,"39.47246899907396, -0.3610250000000002","{""coordinates"": [-0.361025, 39.47246899907396], ""type"": ""Point""}",CENTRE PRIV. ED. INF. 1er CICLE BAMBY-ABADE,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,BAMBY-ABADE,PRIVADO,"CL. GENERAL GIL DOLZ, 12",46010,963629466,0,info@bambyabade.es,Pla del Real,D'EDUCACIÓ INFANTIL DE PRIMER CICLE
38,"39.47393099907395, -0.3981830000000013","{""coordinates"": [-0.398183, 39.47393099907395], ""type"": ""Point""}",CEIP 9 D'OCTUBRE,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,9 D'OCTUBRE,PÚBLICO,"CL. DEMOCRÀCIA, 32",46018,962566800,962566801,46014868@edu.gva.es,Patraix,D'EDUCACIÓ INFANTIL I PRIMÀRIA
40,"39.48684799907388, -0.3751280000000001","{""coordinates"": [-0.375128, 39.48684799907388], ""type"": ""Point""}",CENTRE PRIV. ED. INFANTIL EL TREN,CENTRE PRIVAT D'EDUCACIÓ INFANTIL,EL TREN,PRIVADO,"CL. SAGUNTO, 105",46009,963473375,963473375,escuelainfantileltren@hotmail.es,Campanar,D'EDUCACIÓ INFANTIL
42,"39.45967199907404, -0.3442559999999998","{""coordinates"": [-0.344256, 39.45967199907404], ""type"": ""Point""}",IES DISTRICTE MARÍTIM,INSTITUT D'EDUCACIÓ SECUNDÀRIA,DISTRICTE MARÍTIM,PÚBLICO,"AV. BALEARES, 62",46023,961206200,961206201,46015708@edu.gva.es,Camins al Grau,D'EDUCACIÓ SECUNDÀRIA
43,"39.453496999074076, -0.38502000000000014","{""coordinates"": [-0.38502, 39.453496999074076], ""type"": ""Point""}",CENTRE PRIVAT CONCHA ESPINA II,CENTRE PRIVAT D'EDUCACIÓ PRIMÀRIA I SECUNDÀRIA,CONCHA ESPINA II,CONCERTADO,"CL. MARQUÉS DE BELLET, 5-7",46007,963571411,963579042,secretaria@conchaespina.com,Extramurs,D'EDUCACIÓ PRIMÀRIA I SECUNDÀRIA
44,"39.449327999074114, -0.3934040000000004","{""coordinates"": [-0.393404, 39.449327999074114], ""type"": ""Point""}",CEIP TOMÁS DE VILLARROYA,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,TOMÁS DE VILLARROYA,PÚBLICO,"AV. DOCTOR TOMÁS SALA, S/N",46017,962566100,962566101,46015873@edu.gva.es,Jesus,D'EDUCACIÓ INFANTIL I PRIMÀRIA
45,"39.453286999074095, -0.3761850000000002","{""coordinates"": [-0.376185, 39.453286999074095], ""type"": ""Point""}",CEIP FERNANDO DE LOS RIOS,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,FERNANDO DE LOS RIOS,CONCERTADO,"CL. INGENIERO JOAQUIN BENLLOCH, 33-35",46006,963333362,963347770,cmfernandorios@valencia.es,L'Eixample,D'EDUCACIÓ INFANTIL I PRIMÀRIA
46,"39.47915999907392, -0.39276099999999925","{""coordinates"": [-0.392761, 39.47915999907392], ""type"": ""Point""}",CENTRE PRIVAT VILAVELLA,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",VILAVELLA,CONCERTADO,"CL. PADRE DIEGO MIRÓN, 1",46009,963479750,963477040,vlvl_rfernandez@fomento.edu,Campanar,D'EDUCACIÓ INFANTIL
47,"39.45408699907408, -0.37735300000000027","{""coordinates"": [-0.377353, 39.45408699907408], ""type"": ""Point""}",CENTRE PRIVAT MARTÍ SOROLLA II,CENTRE PRIVAT D'EDUCACIÓ SECUNDÀRIA,MARTÍ SOROLLA II,CONCERTADO,"CL. PIANISTA AMPARO ITURBI, 64",46006,963748161,963342559,ftortosa@gruposorolla.es,L'Eixample,D'EDUCACIÓ SECUNDÀRIA
48,"39.47548999907394, -0.38941100000000034","{""coordinates"": [-0.389411, 39.47548999907394], ""type"": ""Point""}",CENTRE ENS. ARTIST. PROFESSIONALS  BARREIRA ARTE Y DISEÑO,CENTRE AUT. D'ENSENYANCES ARTÍSTIQUES PROFESSIONALS D'ARTS PLÀSTIQUES I DISSEN,BARREIRA ARTE Y DISEÑO,PRIVADO,"CL. SAN JACINTO, 1",46008,961130354,961130359,barreira@barreira.edu.es,Extramurs,CENTRE AUT. D'ENSENYANCES ARTÍSTIQUES PROFESSIONALS D'ARTS PLÀSTIQUES I DISSEN
49,"39.472207999073966, -0.35874300000000003","{""coordinates"": [-0.358743, 39.472207999073966], ""type"": ""Point""}",CENTRE ENS. PROFESSIONALS DE DANSA MARI CRUZ ALCALÁ,CENTRE AUTORITZAT D'ENSENYANCES ARTÍSTIQUES PROFESSIONALS DE DANSA,MARI CRUZ ALCALÁ,PRIVADO,"CL. ALGINET, 8-10",46010,963622779,963622779,info@maricruzalcala.com,Pla del Real,DANSA
50,"39.48766699907386, -0.3633859999999999","{""coordinates"": [-0.363386, 39.48766699907386], ""type"": ""Point""}",CEIP CARLES SALVADOR,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,CARLES SALVADOR,PÚBLICO,"CL. POETA ALTET, 19",46020,962564870,962564871,46017225@edu.gva.es,Benimaclet,D'EDUCACIÓ INFANTIL I PRIMÀRIA
51,"39.488636999073854, -0.3838270000000006","{""coordinates"": [-0.383827, 39.488636999073854], ""type"": ""Point""}",CENTRE PRIVAT JUAN COMENIUS,"CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA",JUAN COMENIUS,CONCERTADO,"CL. MÚSICO JARQUE CUALLADÓ, 9",46009,963467057,963400552,juancomenius@comenius.es,Campanar,D'EDUCACIÓ INFANTIL
53,"39.47636999907394, -0.3462839999999999","{""coordinates"": [-0.346284, 39.47636999907394], ""type"": ""Point""}",IES RAMON LLULL,INSTITUT D'EDUCACIÓ SECUNDÀRIA,RAMON LLULL,PÚBLICO,"CL. RAMON LLULL, 12",46021,961205960,961205961,46017687@edu.gva.es,Pla del Real,D'EDUCACIÓ SECUNDÀRIA
54,"39.49237599907383, -0.37821300000000035","{""coordinates"": [-0.378213, 39.49237599907383], ""type"": ""Point""}",CEIP PROFESOR SANCHIS GUARNER,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,PROFESOR SANCHIS GUARNER,PÚBLICO,"CL. PEDRO PATRICIO MEY, 44",46019,962566080,0,46018114@edu.gva.es,Rascanya,D'EDUCACIÓ INFANTIL I PRIMÀRIA
55,"39.49426099907384, -0.39861899999999933","{""coordinates"": [-0.398619, 39.49426099907384], ""type"": ""Point""}",CEIP LLUÍS GUARNER,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,LLUÍS GUARNER,PÚBLICO,"CL. DOCTOR NICASIO BENLLOCH, 128",46015,962566050,962566051,46018345@edu.gva.es,Benicalap,D'EDUCACIÓ INFANTIL I PRIMÀRIA
56,"39.45911499907404, -0.3411560000000006","{""coordinates"": [-0.341156, 39.45911499907404], ""type"": ""Point""}",IES BALEARES,INSTITUT D'EDUCACIÓ SECUNDÀRIA,BALEARES,PÚBLICO,"AV. BALEARES, 66",46023,961206230,961206231,46018552@edu.gva.es,Camins al Grau,D'EDUCACIÓ SECUNDÀRIA
57,"39.466066999073995, -0.36862700000000026","{""coordinates"": [-0.368627, 39.466066999073995], ""type"": ""Point""}",CENTRE ELEMENTAL DE MÚSICA AURORA I,CENTRE AUTORITZAT ELEMENTAL DE MÚSICA,AURORA I,PRIVADO,"CL. ALMIRANTE CADARSO, 9",46005,963959169,963959169,secretaria@escuelademusicaaurora.com,L'Eixample,MÚSICA
59,"39.473114999073964, -0.33753500000000086","{""coordinates"": [-0.337535, 39.473114999073964], ""type"": ""Point""}",CENTRE PÚBLIC FPA L'ALGUER,CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES,L'ALGUER,PÚBLICO,"CL. JOSÉ MARÍA HARO, 63",46022,961206890,961206891,46019441@edu.gva.es,Camins al Grau,CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES
60,"39.44651699907412, -0.3913989999999994","{""coordinates"": [-0.391399, 39.44651699907412], ""type"": ""Point""}",CENTRE PÚBLIC FPA SANT MARCEL·LÍ,CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES,SANT MARCEL·LÍ,PÚBLICO,"CL. INGENIERO JOSÉ SIRERA, 20",46017,961206785,961206786,46019465@edu.gva.es,Jesus,CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES
61,"39.46653899907399, -0.3419170000000015","{""coordinates"": [-0.341917, 39.46653899907399], ""type"": ""Point""}",EI 1er CICLE CENTRO SOCIAL EL GRAO,ESCOLA INFANTIL DE PRIMER CICLE,CENTRO SOCIAL EL GRAO,PÚBLICO,"CL. VICTOR MOYA, S/N",46022,961205860,961205861,46020236@edu.gva.es,Camins al Grau,ESCOLA INFANTIL DE PRIMER CICLE
62,"39.46775599907399, -0.34674499999999986","{""coordinates"": [-0.346745, 39.46775599907399], ""type"": ""Point""}",CEIP MIQUEL ADLERT I NOGUEROL,COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA,MIQUEL ADLERT I NOGUEROL,PÚBLICO,"CL. PEPE ALBA, 21",46022,962566290,962566291,46020340@edu.gva.es,Camins al Grau,D'EDUCACIÓ INFANTIL I PRIMÀRIA
64,"39.485279999073875, -0.36045699999999975","{""coordinates"": [-0.360457, 39.485279999073875], ""type"": ""Point""}",ESCOLA PRIVADA DE MÚSICA HIPOLITO MARTINEZ,ESCOLA PRIVADA DE MÚSICA,HIPÓLITO MARTÍNEZ,PRIVADO,"CL. BARÓN DE SAN PETRILLO, 14",46020,963691703,963691879,cimbenimaclet@gmail.com,Benimaclet,MÚSICA
65,"39.474928999073946, -0.38277300000000003","{""coordinates"": [-0.382773, 39.474928999073946], ""type"": ""Point""}",CONSERVATORI PROFESSIONAL DE MÚSICA NÚMERO 2,CONSERVATORI PROFESSIONAL DE MÚSICA,NÚMERO 2,PÚBLICO,"PZ. VIRIATO, S/N",46001,961207000,961207001,46021691@edu.gva.es,Ciutat Vella,MÚSICA
66,"39.44803899907413, -0.36852300000000066","{""coordinates"": [-0.368523, 39.44803899907413], ""type"": ""Point""}",CIPFP AUSIÀS MARCH,CENTRE INTEGRAT PÚBLIC DE FORMACIÓ PROFESSIONAL,AUSIÀS MARCH,PÚBLICO,"CL. ÁNGEL DE VILLENA, S/N",46013,961205930,961205931,46021711@edu.gva.es,Quatre Carreres,CENTRE INTEGRAT PÚBLIC DE FORMACIÓ PROFESSIONAL
67,"39.47394099907395, -0.3518390000000007","{""coordinates"": [-0.351839, 39.47394099907395], ""type"": ""Point""}",CENTRE PRIV. ED. INF. 1er CICLE DÁLMATAS,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,DÁLMATAS,PRIVADO,"CL. PEDRO JUAN NUÑEZ, 3",46021,963698330,0,einfantildalmatas@yahoo.es,Pla del Real,D'EDUCACIÓ INFANTIL DE PRIMER CICLE
68,"39.47188099907396, -0.39022600000000096","{""coordinates"": [-0.390226, 39.47188099907396], ""type"": ""Point""}",CENTRE PRIV. ED. INFANTIL CHIQUILÍN,CENTRE PRIVAT D'EDUCACIÓ INFANTIL,CHIQUILÍN,PRIVADO,"CL. JUAN LLORENS, 26",46008,963850781,963842618,info@eichiquilin.com,Extramurs,D'EDUCACIÓ INFANTIL
69,"39.46982399907397, -0.3902699999999993","{""coordinates"": [-0.39027, 39.46982399907397], ""type"": ""Point""}",CENTRE PRIV. ED. INF. 1er CICLE DUMBO,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,DUMBO,PRIVADO,"CL. PINTOR VILA PRADES, 9",46008,963842424,0,dumbo@educacioninfantildumbo.es,Extramurs,D'EDUCACIÓ INFANTIL DE PRIMER CICLE
70,"39.462015999074026, -0.38090599999999997","{""coordinates"": [-0.380906, 39.462015999074026], ""type"": ""Point""}",CENTRE PRIVAT FP I. INTER,CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA,INSTITUTO INTER,PRIVADO,"CL. DOCTOR GIL Y MORTE, 17",46007,963519365,963411452,director@institutointer.com,Extramurs,FORMACIÓ PROFESSIONAL ESPECÍFICA
71,"39.49230099907385, -0.3768610000000006","{""coordinates"": [-0.376861, 39.49230099907385], ""type"": ""Point""}",CENTRE PRIV. ED. INF. 1er CICLE PIPO,CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE,PIPO,PRIVADO,"CL. FELIPE RINALDI, 15",46019,963651687,963651687,info@escuelainfantilpipo.es,Rascanya,D'EDUCACIÓ INFANTIL DE PRIMER CICLE
