,Municipios,Distritos,Secciones,Indicadores de renta media y mediana,Periodo,Total
385,46250 València,02,02039,Renta neta media por persona ,2021,26.477
392,46250 València,02,02040,Renta neta media por persona ,2021,32.039
399,46250 València,02,02041,Renta neta media por persona ,2021,27.574
406,46250 València,02,02042,Renta neta media por persona ,2021,19.569
413,46250 València,02,02043,Renta neta media por persona ,2021,26.709
420,46250 València,02,02044,Renta neta media por persona ,2021,19.803
427,46250 València,02,02045,Renta neta media por persona ,2021,25.27
434,46250 València,02,02046,Renta neta media por persona ,2021,23.281
441,46250 València,02,02047,Renta neta media por persona ,2021,25.944
448,46250 València,02,02050,Renta neta media por persona ,2021,20.307
455,46250 València,02,02051,Renta neta media por persona ,2021,21.008
462,46250 València,02,02053,Renta neta media por persona ,2021,20.639
469,46250 València,02,02054,Renta neta media por persona ,2021,21.002
476,46250 València,02,02055,Renta neta media por persona ,2021,10.502
483,46250 València,02,02057,Renta neta media por persona ,2021,21.743
497,46250 València,03,03001,Renta neta media por persona ,2021,17.644
504,46250 València,03,03002,Renta neta media por persona ,2021,18.231
511,46250 València,03,03004,Renta neta media por persona ,2021,15.391
518,46250 València,03,03007,Renta neta media por persona ,2021,17.872
525,46250 València,03,03008,Renta neta media por persona ,2021,16.332
532,46250 València,03,03010,Renta neta media por persona ,2021,14.068
539,46250 València,03,03013,Renta neta media por persona ,2021,17.892
553,46250 València,03,03015,Renta neta media por persona ,2021,19.161
560,46250 València,03,03017,Renta neta media por persona ,2021,16.198
567,46250 València,03,03018,Renta neta media por persona ,2021,16.466
574,46250 València,03,03019,Renta neta media por persona ,2021,17.427
581,46250 València,03,03020,Renta neta media por persona ,2021,18.775
588,46250 València,03,03021,Renta neta media por persona ,2021,14.775
595,46250 València,03,03023,Renta neta media por persona ,2021,18.72
602,46250 València,03,03025,Renta neta media por persona ,2021,16.63
609,46250 València,03,03026,Renta neta media por persona ,2021,16.478
616,46250 València,03,03027,Renta neta media por persona ,2021,17.488
623,46250 València,03,03029,Renta neta media por persona ,2021,16.115
630,46250 València,03,03030,Renta neta media por persona ,2021,17.436
637,46250 València,03,03032,Renta neta media por persona ,2021,13.244
644,46250 València,03,03033,Renta neta media por persona ,2021,17.346
651,46250 València,03,03034,Renta neta media por persona ,2021,22.362
658,46250 València,03,03035,Renta neta media por persona ,2021,18.194
665,46250 València,03,03036,Renta neta media por persona ,2021,18.094
672,46250 València,03,03037,Renta neta media por persona ,2021,17.462
679,46250 València,03,03038,Renta neta media por persona ,2021,19.435
686,46250 València,03,03040,Renta neta media por persona ,2021,18.109
693,46250 València,03,03041,Renta neta media por persona ,2021,16.377
700,46250 València,03,03044,Renta neta media por persona ,2021,18.88
707,46250 València,03,03046,Renta neta media por persona ,2021,15.66
714,46250 València,03,03047,Renta neta media por persona ,2021,16.25
721,46250 València,03,03048,Renta neta media por persona ,2021,19.649
728,46250 València,03,03049,Renta neta media por persona ,2021,16.544
735,46250 València,03,03050,Renta neta media por persona ,2021,18.407
742,46250 València,03,03052,Renta neta media por persona ,2021,16.583
749,46250 València,03,03053,Renta neta media por persona ,2021,16.004
756,46250 València,03,03055,Renta neta media por persona ,2021,22.433
770,46250 València,04,04001,Renta neta media por persona ,2021,17.271
777,46250 València,04,04002,Renta neta media por persona ,2021,11.828
784,46250 València,04,04003,Renta neta media por persona ,2021,14.72
791,46250 València,04,04004,Renta neta media por persona ,2021,13.692
798,46250 València,04,04005,Renta neta media por persona ,2021,18.481
805,46250 València,04,04006,Renta neta media por persona ,2021,16.875
812,46250 València,04,04007,Renta neta media por persona ,2021,15.078
819,46250 València,04,04008,Renta neta media por persona ,2021,14.433
826,46250 València,04,04009,Renta neta media por persona ,2021,11.674
833,46250 València,04,04010,Renta neta media por persona ,2021,15.504
840,46250 València,04,04011,Renta neta media por persona ,2021,11.593
847,46250 València,04,04012,Renta neta media por persona ,2021,9.563
854,46250 València,04,04014,Renta neta media por persona ,2021,11.154
861,46250 València,04,04015,Renta neta media por persona ,2021,10.979
868,46250 València,04,04016,Renta neta media por persona ,2021,10.192
875,46250 València,04,04017,Renta neta media por persona ,2021,15.488
882,46250 València,04,04018,Renta neta media por persona ,2021,17.754
889,46250 València,04,04019,Renta neta media por persona ,2021,19.978
896,46250 València,04,04020,Renta neta media por persona ,2021,16.989
903,46250 València,04,04021,Renta neta media por persona ,2021,16.51
910,46250 València,04,04022,Renta neta media por persona ,2021,14.486
917,46250 València,04,04023,Renta neta media por persona ,2021,13.224
924,46250 València,04,04024,Renta neta media por persona ,2021,18.417
931,46250 València,04,04025,Renta neta media por persona ,2021,15.414
938,46250 València,04,04026,Renta neta media por persona ,2021,17.676
945,46250 València,04,04027,Renta neta media por persona ,2021,17.461
952,46250 València,04,04028,Renta neta media por persona ,2021,18.836
959,46250 València,04,04029,Renta neta media por persona ,2021,18.7
966,46250 València,04,04030,Renta neta media por persona ,2021,20.86
980,46250 València,05,05001,Renta neta media por persona ,2021,15.544
987,46250 València,05,05002,Renta neta media por persona ,2021,10.679
994,46250 València,05,05003,Renta neta media por persona ,2021,10.152
1001,46250 València,05,05004,Renta neta media por persona ,2021,11.709
1008,46250 València,05,05005,Renta neta media por persona ,2021,11.484
1015,46250 València,05,05006,Renta neta media por persona ,2021,12.869
1022,46250 València,05,05007,Renta neta media por persona ,2021,12.932
1029,46250 València,05,05008,Renta neta media por persona ,2021,13.905
1036,46250 València,05,05009,Renta neta media por persona ,2021,9.665
1043,46250 València,05,05010,Renta neta media por persona ,2021,16.351
1050,46250 València,05,05011,Renta neta media por persona ,2021,14.409
1057,46250 València,05,05013,Renta neta media por persona ,2021,15.864
1064,46250 València,05,05014,Renta neta media por persona ,2021,11.357
1071,46250 València,05,05015,Renta neta media por persona ,2021,13.275
1078,46250 València,05,05016,Renta neta media por persona ,2021,14.039
1085,46250 València,05,05017,Renta neta media por persona ,2021,14.362
1092,46250 València,05,05018,Renta neta media por persona ,2021,13.389
1106,46250 València,05,05021,Renta neta media por persona ,2021,12.581
1113,46250 València,05,05022,Renta neta media por persona ,2021,13.294
1120,46250 València,05,05025,Renta neta media por persona ,2021,15.675
1127,46250 València,05,05026,Renta neta media por persona ,2021,15.971
1134,46250 València,05,05027,Renta neta media por persona ,2021,14.454
1141,46250 València,05,05028,Renta neta media por persona ,2021,17.625
1148,46250 València,05,05029,Renta neta media por persona ,2021,11.102
1155,46250 València,05,05031,Renta neta media por persona ,2021,11.178
1162,46250 València,05,05033,Renta neta media por persona ,2021,12.57
1169,46250 València,05,05034,Renta neta media por persona ,2021,8.346
1176,46250 València,05,05036,Renta neta media por persona ,2021,10.568
1183,46250 València,05,05037,Renta neta media por persona ,2021,14.273
1190,46250 València,05,05038,Renta neta media por persona ,2021,15.647
1197,46250 València,05,05039,Renta neta media por persona ,2021,14.025
1204,46250 València,05,05040,Renta neta media por persona ,2021,15.011
1211,46250 València,05,05041,Renta neta media por persona ,2021,16.207
1218,46250 València,05,05042,Renta neta media por persona ,2021,13.206
1225,46250 València,05,05043,Renta neta media por persona ,2021,14.224
1232,46250 València,05,05044,Renta neta media por persona ,2021,14.186
1246,46250 València,06,06001,Renta neta media por persona ,2021,24.678
1253,46250 València,06,06002,Renta neta media por persona ,2021,20.665
1260,46250 València,06,06003,Renta neta media por persona ,2021,22.629
1267,46250 València,06,06004,Renta neta media por persona ,2021,19.528
1274,46250 València,06,06006,Renta neta media por persona ,2021,29.226
1281,46250 València,06,06007,Renta neta media por persona ,2021,21.316
1288,46250 València,06,06008,Renta neta media por persona ,2021,20.492
1295,46250 València,06,06009,Renta neta media por persona ,2021,13.065
1302,46250 València,06,06011,Renta neta media por persona ,2021,11.349
1309,46250 València,06,06012,Renta neta media por persona ,2021,19.312
1316,46250 València,06,06013,Renta neta media por persona ,2021,17.648
1323,46250 València,06,06014,Renta neta media por persona ,2021,20.695
1330,46250 València,06,06015,Renta neta media por persona ,2021,18.941
1337,46250 València,06,06016,Renta neta media por persona ,2021,23.63
1344,46250 València,06,06017,Renta neta media por persona ,2021,21.903
1351,46250 València,06,06018,Renta neta media por persona ,2021,28.817
1358,46250 València,06,06019,Renta neta media por persona ,2021,22.79
1372,46250 València,06,06021,Renta neta media por persona ,2021,24.384
1379,46250 València,06,06022,Renta neta media por persona ,2021,20.744
1386,46250 València,06,06023,Renta neta media por persona ,2021,19.581
1393,46250 València,06,06024,Renta neta media por persona ,2021,18.753
1400,46250 València,06,06026,Renta neta media por persona ,2021,19.185
1407,46250 València,06,06027,Renta neta media por persona ,2021,19.486
1421,46250 València,07,07001,Renta neta media por persona ,2021,12.505
1428,46250 València,07,07002,Renta neta media por persona ,2021,10.979
1435,46250 València,07,07003,Renta neta media por persona ,2021,14.443
1442,46250 València,07,07004,Renta neta media por persona ,2021,9.933
1449,46250 València,07,07005,Renta neta media por persona ,2021,13.0
1456,46250 València,07,07006,Renta neta media por persona ,2021,10.447
1463,46250 València,07,07007,Renta neta media por persona ,2021,12.732
1470,46250 València,07,07008,Renta neta media por persona ,2021,13.715
1477,46250 València,07,07009,Renta neta media por persona ,2021,12.666
1484,46250 València,07,07010,Renta neta media por persona ,2021,11.774
1491,46250 València,07,07012,Renta neta media por persona ,2021,12.855
1498,46250 València,07,07013,Renta neta media por persona ,2021,13.896
1505,46250 València,07,07014,Renta neta media por persona ,2021,10.269
1512,46250 València,07,07015,Renta neta media por persona ,2021,11.317
1519,46250 València,07,07016,Renta neta media por persona ,2021,12.85
1526,46250 València,07,07017,Renta neta media por persona ,2021,12.607
1533,46250 València,07,07018,Renta neta media por persona ,2021,12.543
1540,46250 València,07,07019,Renta neta media por persona ,2021,14.538
1547,46250 València,07,07020,Renta neta media por persona ,2021,14.808
1554,46250 València,07,07021,Renta neta media por persona ,2021,12.868
1561,46250 València,07,07022,Renta neta media por persona ,2021,12.481
1568,46250 València,07,07023,Renta neta media por persona ,2021,11.129
1575,46250 València,07,07024,Renta neta media por persona ,2021,11.426
1582,46250 València,07,07025,Renta neta media por persona ,2021,10.59
1589,46250 València,07,07026,Renta neta media por persona ,2021,8.944
1596,46250 València,07,07027,Renta neta media por persona ,2021,6.499
1603,46250 València,07,07029,Renta neta media por persona ,2021,9.634
1610,46250 València,07,07030,Renta neta media por persona ,2021,8.809
1617,46250 València,07,07031,Renta neta media por persona ,2021,10.091
1624,46250 València,07,07032,Renta neta media por persona ,2021,15.625
1631,46250 València,07,07036,Renta neta media por persona ,2021,8.512
1638,46250 València,07,07037,Renta neta media por persona ,2021,8.265
1645,46250 València,07,07039,Renta neta media por persona ,2021,13.499
1652,46250 València,07,07040,Renta neta media por persona ,2021,12.739
1659,46250 València,07,07041,Renta neta media por persona ,2021,12.115
1666,46250 València,07,07042,Renta neta media por persona ,2021,13.536
1680,46250 València,08,08001,Renta neta media por persona ,2021,10.998
1687,46250 València,08,08002,Renta neta media por persona ,2021,15.915
1694,46250 València,08,08003,Renta neta media por persona ,2021,14.879
1701,46250 València,08,08004,Renta neta media por persona ,2021,14.085
1708,46250 València,08,08005,Renta neta media por persona ,2021,15.044
1715,46250 València,08,08006,Renta neta media por persona ,2021,16.657
1722,46250 València,08,08007,Renta neta media por persona ,2021,16.197
1729,46250 València,08,08008,Renta neta media por persona ,2021,13.426
1736,46250 València,08,08009,Renta neta media por persona ,2021,14.942
1743,46250 València,08,08010,Renta neta media por persona ,2021,12.722
1750,46250 València,08,08012,Renta neta media por persona ,2021,12.841
1757,46250 València,08,08013,Renta neta media por persona ,2021,15.448
1764,46250 València,08,08014,Renta neta media por persona ,2021,14.471
1771,46250 València,08,08015,Renta neta media por persona ,2021,13.587
1778,46250 València,08,08016,Renta neta media por persona ,2021,12.433
1785,46250 València,08,08017,Renta neta media por persona ,2021,11.617
1792,46250 València,08,08018,Renta neta media por persona ,2021,15.403
1799,46250 València,08,08019,Renta neta media por persona ,2021,15.293
1806,46250 València,08,08020,Renta neta media por persona ,2021,13.577
1813,46250 València,08,08021,Renta neta media por persona ,2021,11.486
1820,46250 València,08,08022,Renta neta media por persona ,2021,13.485
1827,46250 València,08,08023,Renta neta media por persona ,2021,11.949
1834,46250 València,08,08024,Renta neta media por persona ,2021,14.735
1841,46250 València,08,08025,Renta neta media por persona ,2021,11.269
1848,46250 València,08,08026,Renta neta media por persona ,2021,13.226
1855,46250 València,08,08027,Renta neta media por persona ,2021,14.568
1862,46250 València,08,08028,Renta neta media por persona ,2021,14.183
1869,46250 València,08,08029,Renta neta media por persona ,2021,14.76
1876,46250 València,08,08030,Renta neta media por persona ,2021,14.169
1883,46250 València,08,08031,Renta neta media por persona ,2021,13.449
1890,46250 València,08,08032,Renta neta media por persona ,2021,12.004
1897,46250 València,08,08033,Renta neta media por persona ,2021,16.063
1904,46250 València,08,08034,Renta neta media por persona ,2021,12.947
1911,46250 València,08,08035,Renta neta media por persona ,2021,12.35
1918,46250 València,08,08036,Renta neta media por persona ,2021,15.334
1925,46250 València,08,08037,Renta neta media por persona ,2021,14.651
1932,46250 València,08,08038,Renta neta media por persona ,2021,16.113
1939,46250 València,08,08039,Renta neta media por persona ,2021,10.741
1946,46250 València,08,08040,Renta neta media por persona ,2021,13.573
1953,46250 València,08,08041,Renta neta media por persona ,2021,13.107
1960,46250 València,08,08042,Renta neta media por persona ,2021,15.014
1974,46250 València,09,09001,Renta neta media por persona ,2021,15.271
1981,46250 València,09,09002,Renta neta media por persona ,2021,16.56
1988,46250 València,09,09003,Renta neta media por persona ,2021,14.456
1995,46250 València,09,09004,Renta neta media por persona ,2021,12.514
2002,46250 València,09,09005,Renta neta media por persona ,2021,11.629
2009,46250 València,09,09007,Renta neta media por persona ,2021,10.701
2016,46250 València,09,09008,Renta neta media por persona ,2021,11.633
2023,46250 València,09,09009,Renta neta media por persona ,2021,13.081
2030,46250 València,09,09010,Renta neta media por persona ,2021,13.152
2037,46250 València,09,09012,Renta neta media por persona ,2021,11.395
2044,46250 València,09,09013,Renta neta media por persona ,2021,9.991
2051,46250 València,09,09015,Renta neta media por persona ,2021,12.675
2058,46250 València,09,09016,Renta neta media por persona ,2021,11.668
2065,46250 València,09,09017,Renta neta media por persona ,2021,11.902
2072,46250 València,09,09018,Renta neta media por persona ,2021,11.001
2079,46250 València,09,09019,Renta neta media por persona ,2021,11.92
2086,46250 València,09,09020,Renta neta media por persona ,2021,13.131
2093,46250 València,09,09021,Renta neta media por persona ,2021,13.595
2100,46250 València,09,09022,Renta neta media por persona ,2021,11.534
2107,46250 València,09,09023,Renta neta media por persona ,2021,12.757
2114,46250 València,09,09024,Renta neta media por persona ,2021,12.177
2121,46250 València,09,09025,Renta neta media por persona ,2021,13.844
2128,46250 València,09,09026,Renta neta media por persona ,2021,10.463
2135,46250 València,09,09028,Renta neta media por persona ,2021,14.0
2142,46250 València,09,09029,Renta neta media por persona ,2021,12.811
2149,46250 València,09,09030,Renta neta media por persona ,2021,11.431
2156,46250 València,09,09031,Renta neta media por persona ,2021,13.221
2163,46250 València,09,09032,Renta neta media por persona ,2021,10.354
2170,46250 València,09,09033,Renta neta media por persona ,2021,10.195
2177,46250 València,09,09034,Renta neta media por persona ,2021,9.723
2184,46250 València,09,09035,Renta neta media por persona ,2021,12.536
2191,46250 València,09,09036,Renta neta media por persona ,2021,12.201
2198,46250 València,09,09037,Renta neta media por persona ,2021,10.334
2205,46250 València,09,09038,Renta neta media por persona ,2021,11.834
2212,46250 València,09,09039,Renta neta media por persona ,2021,10.962
2219,46250 València,09,09040,Renta neta media por persona ,2021,12.315
2226,46250 València,09,09041,Renta neta media por persona ,2021,14.502
2233,46250 València,09,09042,Renta neta media por persona ,2021,13.13
2247,46250 València,10,10001,Renta neta media por persona ,2021,17.215
2254,46250 València,10,10002,Renta neta media por persona ,2021,12.706
2261,46250 València,10,10003,Renta neta media por persona ,2021,11.394
2268,46250 València,10,10004,Renta neta media por persona ,2021,12.248
2275,46250 València,10,10005,Renta neta media por persona ,2021,13.304
2282,46250 València,10,10006,Renta neta media por persona ,2021,10.647
2289,46250 València,10,10007,Renta neta media por persona ,2021,11.441
2296,46250 València,10,10008,Renta neta media por persona ,2021,10.791
2303,46250 València,10,10009,Renta neta media por persona ,2021,10.735
2310,46250 València,10,10010,Renta neta media por persona ,2021,15.056
2317,46250 València,10,10011,Renta neta media por persona ,2021,13.966
2324,46250 València,10,10012,Renta neta media por persona ,2021,14.306
2331,46250 València,10,10013,Renta neta media por persona ,2021,12.468
2338,46250 València,10,10014,Renta neta media por persona ,2021,13.247
2345,46250 València,10,10015,Renta neta media por persona ,2021,11.049
2352,46250 València,10,10016,Renta neta media por persona ,2021,12.343
2359,46250 València,10,10017,Renta neta media por persona ,2021,10.924
2366,46250 València,10,10018,Renta neta media por persona ,2021,13.104
2373,46250 València,10,10019,Renta neta media por persona ,2021,11.537
2380,46250 València,10,10021,Renta neta media por persona ,2021,10.285
2387,46250 València,10,10022,Renta neta media por persona ,2021,14.488
2394,46250 València,10,10023,Renta neta media por persona ,2021,14.708
2401,46250 València,10,10024,Renta neta media por persona ,2021,11.979
2408,46250 València,10,10025,Renta neta media por persona ,2021,13.443
2415,46250 València,10,10026,Renta neta media por persona ,2021,13.915
2422,46250 València,10,10027,Renta neta media por persona ,2021,13.741
2429,46250 València,10,10028,Renta neta media por persona ,2021,12.101
2436,46250 València,10,10029,Renta neta media por persona ,2021,11.399
2443,46250 València,10,10030,Renta neta media por persona ,2021,11.07
2450,46250 València,10,10031,Renta neta media por persona ,2021,10.404
2457,46250 València,10,10032,Renta neta media por persona ,2021,11.532
2464,46250 València,10,10033,Renta neta media por persona ,2021,8.382
2471,46250 València,10,10034,Renta neta media por persona ,2021,8.265
2478,46250 València,10,10035,Renta neta media por persona ,2021,9.266
2485,46250 València,10,10036,Renta neta media por persona ,2021,8.464
2492,46250 València,10,10037,Renta neta media por persona ,2021,9.283
2499,46250 València,10,10039,Renta neta media por persona ,2021,14.624
2506,46250 València,10,10040,Renta neta media por persona ,2021,18.585
2513,46250 València,10,10041,Renta neta media por persona ,2021,11.224
2520,46250 València,10,10043,Renta neta media por persona ,2021,13.976
2527,46250 València,10,10044,Renta neta media por persona ,2021,12.293
2534,46250 València,10,10045,Renta neta media por persona ,2021,15.621
2541,46250 València,10,10046,Renta neta media por persona ,2021,15.253
2548,46250 València,10,10047,Renta neta media por persona ,2021,13.955
2555,46250 València,10,10048,Renta neta media por persona ,2021,13.236
2562,46250 València,10,10049,Renta neta media por persona ,2021,12.543
2569,46250 València,10,10050,Renta neta media por persona ,2021,12.369
2576,46250 València,10,10051,Renta neta media por persona ,2021,12.558
2583,46250 València,10,10052,Renta neta media por persona ,2021,17.892
2590,46250 València,10,10053,Renta neta media por persona ,2021,16.653
2597,46250 València,10,10054,Renta neta media por persona ,2021,13.468
2604,46250 València,10,10055,Renta neta media por persona ,2021,20.543
2618,46250 València,11,11001,Renta neta media por persona ,2021,10.319
2625,46250 València,11,11002,Renta neta media por persona ,2021,10.061
2632,46250 València,11,11004,Renta neta media por persona ,2021,14.192
2639,46250 València,11,11005,Renta neta media por persona ,2021,12.47
2646,46250 València,11,11006,Renta neta media por persona ,2021,15.035
2653,46250 València,11,11008,Renta neta media por persona ,2021,11.263
2660,46250 València,11,11009,Renta neta media por persona ,2021,14.702
2674,46250 València,11,11011,Renta neta media por persona ,2021,13.591
2681,46250 València,11,11012,Renta neta media por persona ,2021,14.522
2688,46250 València,11,11013,Renta neta media por persona ,2021,10.216
2695,46250 València,11,11015,Renta neta media por persona ,2021,14.466
2702,46250 València,11,11017,Renta neta media por persona ,2021,10.794
2709,46250 València,11,11018,Renta neta media por persona ,2021,12.328
2716,46250 València,11,11019,Renta neta media por persona ,2021,13.048
2723,46250 València,11,11021,Renta neta media por persona ,2021,11.777
2730,46250 València,11,11022,Renta neta media por persona ,2021,10.916
2737,46250 València,11,11024,Renta neta media por persona ,2021,10.176
2744,46250 València,11,11026,Renta neta media por persona ,2021,11.369
2758,46250 València,11,11028,Renta neta media por persona ,2021,12.398
2765,46250 València,11,11029,Renta neta media por persona ,2021,12.222
2772,46250 València,11,11030,Renta neta media por persona ,2021,12.204
2779,46250 València,11,11031,Renta neta media por persona ,2021,13.032
2786,46250 València,11,11032,Renta neta media por persona ,2021,9.338
2793,46250 València,11,11033,Renta neta media por persona ,2021,13.721
2800,46250 València,11,11034,Renta neta media por persona ,2021,12.931
2807,46250 València,11,11035,Renta neta media por persona ,2021,12.257
2814,46250 València,11,11036,Renta neta media por persona ,2021,9.777
2821,46250 València,11,11037,Renta neta media por persona ,2021,9.905
2828,46250 València,11,11038,Renta neta media por persona ,2021,13.695
2835,46250 València,11,11039,Renta neta media por persona ,2021,11.114
2842,46250 València,11,11040,Renta neta media por persona ,2021,16.705
2849,46250 València,11,11041,Renta neta media por persona ,2021,13.595
2856,46250 València,11,11042,Renta neta media por persona ,2021,7.844
2863,46250 València,11,11044,Renta neta media por persona ,2021,10.067
2870,46250 València,11,11045,Renta neta media por persona ,2021,9.131
2877,46250 València,11,11046,Renta neta media por persona ,2021,10.112
2884,46250 València,11,11047,Renta neta media por persona ,2021,9.714
2891,46250 València,11,11048,Renta neta media por persona ,2021,9.527
2898,46250 València,11,11050,Renta neta media por persona ,2021,12.232
2905,46250 València,11,11051,Renta neta media por persona ,2021,15.275
2912,46250 València,11,11052,Renta neta media por persona ,2021,17.815
2919,46250 València,11,11053,Renta neta media por persona ,2021,12.18
2926,46250 València,11,11054,Renta neta media por persona ,2021,12.509
2933,46250 València,11,11055,Renta neta media por persona ,2021,12.784
2947,46250 València,12,12001,Renta neta media por persona ,2021,11.405
2954,46250 València,12,12002,Renta neta media por persona ,2021,12.631
2961,46250 València,12,12003,Renta neta media por persona ,2021,11.89
2968,46250 València,12,12006,Renta neta media por persona ,2021,11.016
2975,46250 València,12,12008,Renta neta media por persona ,2021,13.441
2982,46250 València,12,12009,Renta neta media por persona ,2021,12.512
2989,46250 València,12,12010,Renta neta media por persona ,2021,11.624
2996,46250 València,12,12011,Renta neta media por persona ,2021,11.173
3003,46250 València,12,12012,Renta neta media por persona ,2021,11.781
3010,46250 València,12,12013,Renta neta media por persona ,2021,13.471
3017,46250 València,12,12014,Renta neta media por persona ,2021,12.126
3024,46250 València,12,12015,Renta neta media por persona ,2021,10.598
3031,46250 València,12,12016,Renta neta media por persona ,2021,14.154
3038,46250 València,12,12018,Renta neta media por persona ,2021,13.814
3045,46250 València,12,12019,Renta neta media por persona ,2021,13.815
3052,46250 València,12,12020,Renta neta media por persona ,2021,14.683
3059,46250 València,12,12021,Renta neta media por persona ,2021,13.237
3066,46250 València,12,12023,Renta neta media por persona ,2021,12.829
3073,46250 València,12,12024,Renta neta media por persona ,2021,13.924
3080,46250 València,12,12025,Renta neta media por persona ,2021,13.495
3087,46250 València,12,12026,Renta neta media por persona ,2021,10.317
3094,46250 València,12,12027,Renta neta media por persona ,2021,8.287
3101,46250 València,12,12028,Renta neta media por persona ,2021,12.481
3108,46250 València,12,12029,Renta neta media por persona ,2021,10.165
3115,46250 València,12,12030,Renta neta media por persona ,2021,11.777
3122,46250 València,12,12031,Renta neta media por persona ,2021,11.656
3129,46250 València,12,12032,Renta neta media por persona ,2021,10.431
3136,46250 València,12,12033,Renta neta media por persona ,2021,12.493
3143,46250 València,12,12034,Renta neta media por persona ,2021,13.466
3150,46250 València,12,12035,Renta neta media por persona ,2021,13.695
3157,46250 València,12,12036,Renta neta media por persona ,2021,9.591
3164,46250 València,12,12037,Renta neta media por persona ,2021,21.945
3171,46250 València,12,12038,Renta neta media por persona ,2021,15.503
3178,46250 València,12,12039,Renta neta media por persona ,2021,13.802
3185,46250 València,12,12040,Renta neta media por persona ,2021,14.34
3192,46250 València,12,12041,Renta neta media por persona ,2021,23.726
3199,46250 València,12,12042,Renta neta media por persona ,2021,20.928
3206,46250 València,12,12043,Renta neta media por persona ,2021,13.683
3213,46250 València,12,12044,Renta neta media por persona ,2021,18.357
3220,46250 València,12,12045,Renta neta media por persona ,2021,21.053
3227,46250 València,12,12046,Renta neta media por persona ,2021,19.33
3234,46250 València,12,12047,Renta neta media por persona ,2021,15.686
3241,46250 València,12,12048,Renta neta media por persona ,2021,19.243
3255,46250 València,13,13001,Renta neta media por persona ,2021,13.748
3262,46250 València,13,13002,Renta neta media por persona ,2021,14.651
3269,46250 València,13,13003,Renta neta media por persona ,2021,13.456
3276,46250 València,13,13004,Renta neta media por persona ,2021,11.244
3283,46250 València,13,13005,Renta neta media por persona ,2021,15.478
3290,46250 València,13,13007,Renta neta media por persona ,2021,12.291
3297,46250 València,13,13008,Renta neta media por persona ,2021,13.999
3304,46250 València,13,13009,Renta neta media por persona ,2021,10.291
