,direccion,barrio,distrito,precio,metros
49,"La Vega Baixa, València",La Vega Baixa,Algirós,1.100€/mes,130 m²
50,"calle del Vinalopó, La Vega Baixa, València",La Vega Baixa,Algirós,1.000€/mes,149 m²
51,"La Vega Baixa, València",La Vega Baixa,Algirós,1.100€/mes,110 m²
52,"calle de Gorgos, La Vega Baixa, València",La Vega Baixa,Algirós,1.200€/mes,130 m²
53,"La Vega Baixa, València",La Vega Baixa,Algirós,1.800€/mes,170 m²
54,"paseo de les Facultats, La Vega Baixa, València",La Vega Baixa,Algirós,1.090€/mes,90 m²
55,"La Vega Baixa, València",La Vega Baixa,Algirós,550€/mes,58 m²
56,"Doctor García Donato, 8, La Vega Baixa, València",La Vega Baixa,Algirós,1.350€/mes,100 m²
57,"plaza del Xúquer, 15, La Vega Baixa, València",La Vega Baixa,Algirós,765€/mes,44 m²
58,"plaza d'Olof Palme, L'Amistat, València",Amistat,Algirós,850€/mes,180 m²
59,"calle de Beatríz Tortosa, 31, L'Amistat, València",Amistat,Algirós,1.350€/mes,142 m²
60,"Republica Argentina, L'Amistat, València",Amistat,Algirós,1.300€/mes,300 m²
61,"avenida de Blasco Ibáñez, L'Amistat, València",Amistat,Algirós,1.200€/mes,75 m²
62,"L'Amistat, València",Amistat,Algirós,1.200€/mes,300 m²
63,"calle Séneca, L'Amistat, València",Amistat,Algirós,350€/mes,31 m²
64,"calle del Doctor Manuel Candela, L'Amistat, València",Amistat,Algirós,867€/mes,111 m²
65,"avenida Cardenal Benlloch, 110, L'Amistat, València",Amistat,Algirós,450€/mes,26 m²
66,"Manuel Martí, 24, L'Amistat, València",Amistat,Algirós,450€/mes,95 m²
67,"Av. Blasco Ibañez, L'Amistat, València",Amistat,Algirós,1.200€/mes,75 m²
68,"calle del Doctor Vicente Pallarés, L'Amistat, València",Amistat,Algirós,490€/mes,80 m²
69,"L'Amistat, València",Amistat,Algirós,725€/mes,105 m²
70,"L'Amistat, València",Amistat,Algirós,500€/mes,60 m²
71,"calle d'Homer, 1, L'Amistat, València",Amistat,Algirós,1.800€/mes,90 m²
72,"avenida de Blasco Ibáñez, 86, L'Amistat, València",Amistat,Algirós,600€/mes,68 m²
73,"Campoamor, L'Amistat, València",Amistat,Algirós,760€/mes,120 m²
74,"calle del Doctor Vicente Pallarés, 42, L'Amistat, València",Amistat,Algirós,1.200€/mes,150 m²
75,"L'Amistat, València",Amistat,Algirós,1.200€/mes,240 m²
76,"calle del Doctor Manuel Candela, 73, L'Amistat, València",Amistat,Algirós,800€/mes,200 m²
77,"avenida del Cardenal Benlloch, 80, L'Amistat, València",Amistat,Algirós,500€/mes,20 m²
78,"calle de l'Amistat, 7, L'Amistat, València",Amistat,Algirós,800€/mes,120 m²
79,"Serreria, s/n, L'Illa Perduda, València",Illa Perduda,Algirós,1.200€/mes,78 m²
80,"calle de Pere de València, L'Illa Perduda, València",Illa Perduda,Algirós,3.250€/mes,404 m²
81,"calle de la Fusta, L'Illa Perduda, València",Illa Perduda,Algirós,650€/mes,78 m²
82,"calle del Pintor Ferrer Calatayud, L'Illa Perduda, València",Illa Perduda,Algirós,1.100€/mes,175 m²
83,"Carrer del Poeta Andrés Cabrelles, L'Illa Perduda, València",Illa Perduda,Algirós,450€/mes,40 m²
84,"calle Maderas, L'Illa Perduda, València",Illa Perduda,Algirós,850€/mes,100 m²
85,"L'Illa Perduda, València",Illa Perduda,Algirós,1.700€/mes,389 m²
86,"L'Illa Perduda, València",Illa Perduda,Algirós,580€/mes,60 m²
87,"calle de la Fusta, L'Illa Perduda, València",Illa Perduda,Algirós,550€/mes,76 m²
88,"L'Illa Perduda, València",Illa Perduda,Algirós,600€/mes,60 m²
89,"calle Serreria, 67, L'Illa Perduda, València",Illa Perduda,Algirós,1.200€/mes,76 m²
90,"calle de Pere de València, 18, L'Illa Perduda, València",Illa Perduda,Algirós,600€/mes,43 m²
91,"L'Illa Perduda, València",Illa Perduda,Algirós,1.200€/mes,300 m²
92,"calle del Pintor Ferrer Calatayud, 6, L'Illa Perduda, València",Illa Perduda,Algirós,1.100€/mes,180 m²
93,"L'Illa Perduda, València",Illa Perduda,Algirós,990€/mes,81 m²
94,"C. de la Serrería, 70, L'Illa Perduda, València",Illa Perduda,Algirós,620€/mes,80 m²
95,"L'Illa Perduda, València",Illa Perduda,Algirós,375€/mes,25 m²
96,"L'Illa Perduda, València",Illa Perduda,Algirós,400€/mes,41 m²
97,"La Carrasca, València",La Carrrasca,Algirós,3.396€/mes,130 m²
98,"calle de Ramon Llull, 39, La Carrasca, València",La Carrrasca,Algirós,1.550€/mes,208 m²
99,"plaza Num 93 Res Urb, La Carrasca, València",La Carrrasca,Algirós,3.396€/mes,160 m²
100,"calle de José María Haro, La Carrasca, València",La Carrrasca,Algirós,1.000€/mes,196 m²
101,"avenida de catalunya, 16, La Carrasca, València",La Carrrasca,Algirós,490€/mes,70 m²
102,"La Carrasca, València",La Carrrasca,Algirós,612€/mes,154 m²
103,"plaza del Mestre Ripoll, 13, La Carrasca, València",La Carrrasca,Algirós,1.000€/mes,196 m²
104,"avenida dels Tarongers, La Carrasca, València",La Carrrasca,Algirós,1.199€/mes,125 m²
105,"paseo de les Facultats, La Carrasca, València",La Carrrasca,Algirós,550€/mes,58 m²
106,"calle Jose María de Haro, 49, La Carrasca, València",La Carrrasca,Algirós,459€/mes,50 m²
107,"plaza de Fra Lluís Colomer, 10, La Carrasca, València",La Carrrasca,Algirós,612€/mes,80 m²
108,"calle de José María Haro, 57, La Carrasca, València",La Carrrasca,Algirós,600€/mes,90 m²
109,"calle de Rubén Darío, 26, La Carrasca, València",La Carrrasca,Algirós,1.100€/mes,130 m²
110,"calle de les Alqueries de Bellver, Benicalap, València",Benicalap,Benicalap,2.500€/mes,695 m²
111,"calle del Doctor Nicasi Benlloch, 22, Benicalap, València",Benicalap,Benicalap,1.500€/mes,220 m²
112,"avenida de les Corts Valencianes, Benicalap, València",Benicalap,Benicalap,4.800€/mes,853 m²
113,"Salvador Tuset, Benicalap, València",Benicalap,Benicalap,990€/mes,177 m²
114,"avenida Cortes Valencianas, Benicalap, València",Benicalap,Benicalap,4.800€/mes,560 m²
115,"Benicalap, València",Benicalap,Benicalap,990€/mes,209 m²
116,"calle dels Plàtans, Benicalap, València",Benicalap,Benicalap,840€/mes,399 m²
117,"calle del Periodista Gil Sumbiela, 14, Benicalap, València",Benicalap,Benicalap,700€/mes,80 m²
118,"avenida de Burjassot, 156, Benicalap, València",Benicalap,Benicalap,695€/mes,320 m²
119,"calle dels Plàtans, Benicalap, València",Benicalap,Benicalap,480€/mes,120 m²
120,"Benicalap, València",Benicalap,Benicalap,630€/mes,136 m²
121,"avenida de las Cortes Valencianas, Benicalap, València",Benicalap,Benicalap,4.800€/mes,827 m²
122,"calle amics del corpus, s/n, Benicalap, València",Benicalap,Benicalap,1.300€/mes,268 m²
123,"Nave en calle Obispo Puchol, 7, Benicalap, València",Benicalap,Benicalap,1.400€/mes,1.490 m²
124,"avenida de Pius XII, Benicalap, València",Benicalap,Benicalap,900€/mes,90 m²
125,"calle del Doctor Nicasi Benlloch, 38, Benicalap, València",Benicalap,Benicalap,3.000€/mes,463 m²
126,"Benicalap, València",Benicalap,Benicalap,600€/mes,80 m²
127,"avenida de las Cortes Valencianas, Benicalap, València",Benicalap,Benicalap,4.800€/mes,571 m²
128,"Benicalap, València",Benicalap,Benicalap,6.000€/mes,1.395 m²
129,"calle del General Llorens, 8, Benicalap, València",Benicalap,Benicalap,1.200€/mes,275 m²
130,"calle Sierra de Agullent, Benicalap, València",Benicalap,Benicalap,1.000€/mes,307 m²
131,"Buen Retiro, Benicalap, València",Benicalap,Benicalap,600€/mes,288 m²
132,"calle de la Verbena, 4, Benicalap, València",Benicalap,Benicalap,1.900€/mes,424 m²
133,"Benicalap, València",Benicalap,Benicalap,850€/mes,399 m²
134,"avenida de Burjassot, Benicalap, València",Benicalap,Benicalap,1.000€/mes,226 m²
135,"avenida de Burjassot, Benicalap, València",Benicalap,Benicalap,800€/mes,173 m²
136,"Benicalap, València",Benicalap,Benicalap,1.000€/mes,105 m²
137,"calle del Poeta Serrano Clavero, Benicalap, València",Benicalap,Benicalap,1.150€/mes,250 m²
138,"calle Amics del Corpus, Benicalap, València",Benicalap,Benicalap,1.100€/mes,234 m²
139,"General Lloresns, Benicalap, València",Benicalap,Benicalap,295€/mes,25 m²
140,"General Lloresns, Benicalap, València",Benicalap,Benicalap,295€/mes,25 m²
141,"calle de la Verbena, 6, Benicalap, València",Benicalap,Benicalap,1.200€/mes,218 m²
142,"calle de la Verbena, 4, Benicalap, València",Benicalap,Benicalap,1.350€/mes,206 m²
143,"Benicalap, València",Benicalap,Benicalap,780€/mes,218 m²
144,"Benicalap, València",Benicalap,Benicalap,1.750€/mes,360 m²
145,"Benicalap, València",Benicalap,Benicalap,750€/mes,259 m²
146,"calle de les Alqueries de Bellver, Benicalap, València",Benicalap,Benicalap,500€/mes,50 m²
147,"Benicalap, València",Benicalap,Benicalap,390€/mes,30 m²
148,"Benicalap, València",Benicalap,Benicalap,4.000€/mes,400 m²
149,"calle d'Alfara del Patriarca, 9, Benicalap, València",Benicalap,Benicalap,655€/mes,60 m²
150,"calle del Poeta Serrano Clavero, s/n, Benicalap, València",Benicalap,Benicalap,1.150€/mes,250 m²
151,"Benicalap, València",Benicalap,Benicalap,650€/mes,85 m²
152,"calle Clarachet, 3, Benicalap, València",Benicalap,Benicalap,450€/mes,40 m²
153,"calle Loriguilla, 1, Benicalap, València",Benicalap,Benicalap,675€/mes,70 m²
154,"Benicalap, València",Benicalap,Benicalap,1.000€/mes,239 m²
155,"Benicalap, València",Benicalap,Benicalap,600€/mes,158 m²
156,"calle de Picayo, Benicalap, València",Benicalap,Benicalap,600€/mes,130 m²
157,"Serra Martes, Benicalap, València",Benicalap,Benicalap,900€/mes,214 m²
158,"Benicalap, València",Benicalap,Benicalap,475€/mes,60 m²
159,"calle del Poeta Serrano Clavero, Benicalap, València",Benicalap,Benicalap,1.200€/mes,250 m²
160,"calle de José Grollo, 100, Benicalap, València",Benicalap,Benicalap,490€/mes,140 m²
161,"Benicalap, València",Benicalap,Benicalap,1.200€/mes,250 m²
162,"calle de sant josep de pignatelli, Benicalap, València",Benicalap,Benicalap,700€/mes,200 m²
163,"calle del Garbí, 19, Benicalap, València",Benicalap,Benicalap,500€/mes,50 m²
164,"calle del Garbí, 19, Benicalap, València",Benicalap,Benicalap,500€/mes,50 m²
165,"Ciutat Fallera, València",Ciutat Fallera,Benicalap,700€/mes,234 m²
166,"Ciutat Fallera, València",Ciutat Fallera,Benicalap,755€/mes,251 m²
167,"Ciutat Fallera, València",Ciutat Fallera,Benicalap,625€/mes,208 m²
168,"Ciutat Fallera, València",Ciutat Fallera,Benicalap,475€/mes,158 m²
169,"Ciutat Fallera, València",Ciutat Fallera,Benicalap,725€/mes,242 m²
170,"Ciutat Fallera, València",Ciutat Fallera,Benicalap,420€/mes,140 m²
171,"Ciutat Fallera, València",Ciutat Fallera,Benicalap,410€/mes,136 m²
172,"Ciutat Fallera, València",Ciutat Fallera,Benicalap,660€/mes,219 m²
173,"Ciutat Fallera, València",Ciutat Fallera,Benicalap,655€/mes,217 m²
174,"avenida de Burjassot, Ciutat Fallera, València",Ciutat Fallera,Benicalap,400€/mes,46 m²
175,"calle el Parot, 2, Ciutat Fallera, València",Ciutat Fallera,Benicalap,850€/mes,200 m²
176,"avenida de Joan XXIII, s/n, Nou Benicalap, València",Nou Benicalap,Benicalap,20.500€/mes,1.880 m²
177,"calle Maria Fernanda d'Ocon, Nou Benicalap, València",Nou Benicalap,Benicalap,1.100€/mes,175 m²
178,"avenida de los Hermanos Machado, Nou Benicalap, València",Nou Benicalap,Benicalap,1.700€/mes,300 m²
179,"avenida Hermanos Machado, 137, Nou Benicalap, València",Nou Benicalap,Benicalap,1.900€/mes,411 m²
180,"Nou Benicalap, València",Nou Benicalap,Benicalap,1.000€/mes,173 m²
181,"Nou Benicalap, València",Nou Benicalap,Benicalap,875€/mes,150 m²
182,"Nou Benicalap, València",Nou Benicalap,Benicalap,1.200€/mes,125 m²
183,"Nou Benicalap, València",Nou Benicalap,Benicalap,500€/mes,72 m²
184,"Nou Benicalap, València",Nou Benicalap,Benicalap,700€/mes,75 m²
185,"calle del Riu Segre, 17, Nou Benicalap, València",Nou Benicalap,Benicalap,700€/mes,85 m²
186,"Nou Benicalap, València",Nou Benicalap,Benicalap,700€/mes,85 m²
187,"Benimaclet, València",Benimaclet,Benimaclet,3.000€/mes,600 m²
188,"calle d'Enric Navarro, 29, Benimaclet, València",Benimaclet,Benimaclet,500€/mes,60 m²
189,"calle la Guardia Civil, Benimaclet, València",Benimaclet,Benimaclet,700€/mes,100 m²
190,"calle del Doctor Vicente Zaragozá, Benimaclet, València",Benimaclet,Benimaclet,1.325€/mes,215 m²
191,"calle d'Enric Navarro, 26, Benimaclet, València",Benimaclet,Benimaclet,1.100€/mes,135 m²
192,"avenida de Catalunya, Benimaclet, València",Benimaclet,Benimaclet,9.000€/mes,760 m²
193,"avenida del Primat Reig, Benimaclet, València",Benimaclet,Benimaclet,3.000€/mes,600 m²
194,"Benimaclet, València",Benimaclet,Benimaclet,1.800€/mes,190 m²
195,"Mistral, 3, Benimaclet, València",Benimaclet,Benimaclet,350€/mes,40 m²
196,"Guardia Civil, Benimaclet, València",Benimaclet,Benimaclet,950€/mes,212 m²
197,"Benimaclet, València",Benimaclet,Benimaclet,450€/mes,80 m²
198,"calle del Reverendo José Pinazo, Benimaclet, València",Benimaclet,Benimaclet,390€/mes,62 m²
199,"Benimaclet, València",Benimaclet,Benimaclet,765€/mes,135 m²
200,"calle Doctor Garcia Brustenga, Benimaclet, València",Benimaclet,Benimaclet,1.500€/mes,200 m²
201,"calle del Baró de San Petrillo, Benimaclet, València",Benimaclet,Benimaclet,2.000€/mes,130 m²
202,"calle la Guardia Civil, Benimaclet, València",Benimaclet,Benimaclet,650€/mes,69 m²
203,"Benimaclet, València",Benimaclet,Benimaclet,2.000€/mes,253 m²
204,"calle del Reverendo José Pinazo, 4, Benimaclet, València",Benimaclet,Benimaclet,585€/mes,98 m²
205,"calle de Benicolet, s/n, Benimaclet, València",Benimaclet,Benimaclet,650€/mes,107 m²
206,"calle de la Guàrdia Civil, Benimaclet, València",Benimaclet,Benimaclet,900€/mes,110 m²
207,"calle de les Fraules, 8, Benimaclet, València",Benimaclet,Benimaclet,1.200€/mes,200 m²
208,"calle Prudenci Alcón i Mateu, s/n, Benimaclet, València",Benimaclet,Benimaclet,1.000€/mes,200 m²
209,"calle del Poeta Altet, 3, Benimaclet, València",Benimaclet,Benimaclet,650€/mes,150 m²
210,"benicarlo, 27, Benimaclet, València",Benimaclet,Benimaclet,300€/mes,35 m²
211,"calle de Dolores Marqués, Benimaclet, València",Benimaclet,Benimaclet,450€/mes,61 m²
212,"avenida del Primat Reig, Benimaclet, València",Benimaclet,Benimaclet,1.600€/mes,325 m²
213,"Benimaclet, València",Benimaclet,Benimaclet,501€/mes,35 m²
214,"calle Francisco Martínez, s/n, Benimaclet, València",Benimaclet,Benimaclet,650€/mes,99 m²
215,"calle de Daniel Balaciart, Benimaclet, València",Benimaclet,Benimaclet,1.640€/mes,250 m²
216,"calle de Alboraya, Benimaclet, València",Benimaclet,Benimaclet,800€/mes,164 m²
217,"Benimaclet, València",Benimaclet,Benimaclet,500€/mes,76 m²
218,"calle del Baró de San Petrillo, 6, Benimaclet, València",Benimaclet,Benimaclet,600€/mes,80 m²
219,"Benimaclet, València",Benimaclet,Benimaclet,1.500€/mes,250 m²
220,"Benimaclet, València",Benimaclet,Benimaclet,400€/mes,36 m²
221,"Benimaclet, València",Benimaclet,Benimaclet,1.500€/mes,260 m²
222,"Benimaclet, València",Benimaclet,Benimaclet,1.000€/mes,167 m²
223,"calle d'Albocàsser, 25, Benimaclet, València",Benimaclet,Benimaclet,570€/mes,127 m²
224,"calle de Dolores Marqués, 8, Benimaclet, València",Benimaclet,Benimaclet,501€/mes,35 m²
225,"Benimaclet, València",Benimaclet,Benimaclet,660€/mes,135 m²
226,"calle de la Guàrdia Civil, 17, Benimaclet, València",Benimaclet,Benimaclet,867€/mes,120 m²
227,"avenida del Primado Reig, 133, Benimaclet, València",Benimaclet,Benimaclet,900€/mes,200 m²
228,"Benimaclet, València",Benimaclet,Benimaclet,575€/mes,140 m²
229,"Benimaclet, València",Benimaclet,Benimaclet,2.000€/mes,144 m²
230,"calle de la Vila de Muro, Benimaclet, València",Benimaclet,Benimaclet,650€/mes,115 m²
231,"calle Alboraya, 72, Benimaclet, València",Benimaclet,Benimaclet,1.000€/mes,160 m²
232,"Barón de San Petrillo, 21, Benimaclet, València",Benimaclet,Benimaclet,1.500€/mes,200 m²
233,"Benimaclet, València",Benimaclet,Benimaclet,1.450€/mes,230 m²
234,"Benimaclet, València",Benimaclet,Benimaclet,1.300€/mes,200 m²
235,"Benimaclet, València",Benimaclet,Benimaclet,700€/mes,75 m²
236,"Benimaclet, València",Benimaclet,Benimaclet,2.000€/mes,200 m²
237,"calle Cofrentes, Benimaclet, València",Benimaclet,Benimaclet,1.000€/mes,150 m²
238,"calle Emilio Baró, Benimaclet, València",Benimaclet,Benimaclet,1.500€/mes,171 m²
239,"Benimaclet, València",Benimaclet,Benimaclet,350€/mes,52 m²
240,"calle del Azagador de Alboraya, Benimaclet, València",Benimaclet,Benimaclet,1.500€/mes,190 m²
241,"Benimaclet, València",Benimaclet,Benimaclet,950€/mes,100 m²
242,"calle d'Enric Navarro, 29, Benimaclet, València",Benimaclet,Benimaclet,500€/mes,60 m²
243,"Benimaclet, València",Benimaclet,Benimaclet,400€/mes,60 m²
244,"calle de Francesc Martínez, Camí de Vera, València",Cami de Vera,Benimaclet,1.850€/mes,360 m²
245,"Camí de Vera, València",Cami de Vera,Benimaclet,550€/mes,110 m²
246,"calle d'Emili Baró, 88, Camí de Vera, València",Cami de Vera,Benimaclet,590€/mes,74 m²
247,"Camí de Vera, València",Cami de Vera,Benimaclet,550€/mes,110 m²
248,"calle del Músic Hipòlit Martínez, Camí de Vera, València",Cami de Vera,Benimaclet,5.600€/mes,1.068 m²
249,"calle de Masquefa, Camí de Vera, València",Cami de Vera,Benimaclet,500€/mes,75 m²
250,"avenida Valladolid, 35, Camí de Vera, València",Cami de Vera,Benimaclet,435€/mes,50 m²
251,"Camí de Vera, València",Cami de Vera,Benimaclet,875€/mes,226 m²
252,"Camí de Vera, València",Cami de Vera,Benimaclet,500€/mes,75 m²
253,"Islas Canarias, La Creu del Grau, València",La Creu del Grau,Camins al Grau,2.400€/mes,620 m²
254,"La Creu del Grau, València",La Creu del Grau,Camins al Grau,900€/mes,65 m²
255,"Islas Canarias, La Creu del Grau, València",La Creu del Grau,Camins al Grau,1.400€/mes,420 m²
256,"islas canarias, La Creu del Grau, València",La Creu del Grau,Camins al Grau,1.000€/mes,225 m²
257,"La Creu del Grau, València",La Creu del Grau,Camins al Grau,3.000€/mes,491 m²
258,"calle de Juan Bautista Marco, La Creu del Grau, València",La Creu del Grau,Camins al Grau,850€/mes,257 m²
259,"calle de Lebón, 19, La Creu del Grau, València",La Creu del Grau,Camins al Grau,305€/mes,786 m²
260,"Trafalgar, La Creu del Grau, València",La Creu del Grau,Camins al Grau,1.572€/mes,102 m²
261,"La Creu del Grau, València",La Creu del Grau,Camins al Grau,1.500€/mes,102 m²
262,"La Creu del Grau, València",La Creu del Grau,Camins al Grau,2.500€/mes,520 m²
263,"calle de Fuencaliente, 10, La Creu del Grau, València",La Creu del Grau,Camins al Grau,850€/mes,64 m²
264,"La Creu del Grau, València",La Creu del Grau,Camins al Grau,495€/mes,51 m²
265,"La Creu del Grau, València",La Creu del Grau,Camins al Grau,1.000€/mes,225 m²
266,"Rodrigo de Pertegaz, La Creu del Grau, València",La Creu del Grau,Camins al Grau,800€/mes,120 m²
267,"La Creu del Grau, València",La Creu del Grau,Camins al Grau,1.500€/mes,220 m²
268,"calle de Carolina Álvarez, La Creu del Grau, València",La Creu del Grau,Camins al Grau,1.400€/mes,241 m²
269,"calle de Trafalgar, La Creu del Grau, València",La Creu del Grau,Camins al Grau,500€/mes,71 m²
270,"La Creu del Grau, València",La Creu del Grau,Camins al Grau,1.200€/mes,195 m²
271,"Nave en La Creu del Grau, València",La Creu del Grau,Camins al Grau,5.000€/mes,536 m²
272,"calle de Rodrigo de Pertegás, La Creu del Grau, València",La Creu del Grau,Camins al Grau,850€/mes,120 m²
273,"avenida del Puerto, La Creu del Grau, València",La Creu del Grau,Camins al Grau,1.500€/mes,80 m²
274,"La Creu del Grau, València",La Creu del Grau,Camins al Grau,1.100€/mes,100 m²
275,"La Creu del Grau, València",La Creu del Grau,Camins al Grau,900€/mes,40 m²
276,"La Creu del Grau, València",La Creu del Grau,Camins al Grau,1.200€/mes,100 m²
277,"Local o nave en La Creu del Grau, València",La Creu del Grau,Camins al Grau,5.000€/mes,536 m²
278,"La Creu del Grau, València",La Creu del Grau,Camins al Grau,450€/mes,50 m²
279,"calle de Fuencaliente, 10, La Creu del Grau, València",La Creu del Grau,Camins al Grau,847€/mes,70 m²
280,"calle del Doctor Manuel Candela, 32, Aiora, València",Aiora,Camins al Grau,900€/mes,155 m²
281,"Carrer dels Sants Just i Pastor, Aiora, València",Aiora,Camins al Grau,1.400€/mes,235 m²
282,"calle dels Sants Just i Pastor, 156, Aiora, València",Aiora,Camins al Grau,1.600€/mes,235 m²
283,"Aiora, València",Aiora,Camins al Grau,3.500€/mes,525 m²
284,"plaza de l'Organista Cabo, Aiora, València",Aiora,Camins al Grau,550€/mes,58 m²
285,"calle del Marí Albesa, Aiora, València",Aiora,Camins al Grau,649€/mes,110 m²
286,"calle de José Aguilar, 37, Aiora, València",Aiora,Camins al Grau,910€/mes,60 m²
287,"calle dels Sants Just i Pastor, Aiora, València",Aiora,Camins al Grau,1.500€/mes,237 m²
288,"Industria, Aiora, València",Aiora,Camins al Grau,650€/mes,65 m²
289,"avenida del Port, Aiora, València",Aiora,Camins al Grau,900€/mes,87 m²
290,"calle de la Serradora, 11, Aiora, València",Aiora,Camins al Grau,1.100€/mes,121 m²
291,"Aiora, València",Aiora,Camins al Grau,1.500€/mes,220 m²
292,"calle Humanista Furio, Aiora, València",Aiora,Camins al Grau,400€/mes,60 m²
293,"calle Santos Justo y Pastor, Aiora, València",Aiora,Camins al Grau,900€/mes,239 m²
294,"calle de la Serrería, Aiora, València",Aiora,Camins al Grau,650€/mes,140 m²
295,"Justo y Pastor, 70, Aiora, València",Aiora,Camins al Grau,1.199€/mes,205 m²
296,"calle Maderas, 59, Aiora, València",Aiora,Camins al Grau,550€/mes,80 m²
